filename,label
0\0_original_43.png_592b345c-34ee-4cc5-b2f4-774db9375ab8.png,Give way
0\0_original_43_original_43.png_00f45b77-a86e-4af1-8eee-259b19bd12dd.png_072d913d-c24c-4abc-915e-134ebe3984a9.png,Give way
0\0_original_43_original_43.png_00f45b77-a86e-4af1-8eee-259b19bd12dd.png_2d6e04de-2d64-4ea0-a6b9-7603e0ae938e.png,Give way
0\0_original_43_original_43.png_00f45b77-a86e-4af1-8eee-259b19bd12dd.png_768c63dc-7a24-453f-9706-01f85bf3e49b.png,Give way
0\0_original_43_original_43.png_00f45b77-a86e-4af1-8eee-259b19bd12dd.png_7a745078-e0eb-4ba2-baa3-0991c75e2b16.png,Give way
0\0_original_43_original_43.png_02661bd5-3d5b-4478-a571-ad74f652ca39.png_239f85c7-fa52-4377-b712-d6be292dcc0c.png,Give way
0\0_original_43_original_43.png_02661bd5-3d5b-4478-a571-ad74f652ca39.png_8cc27c93-12f5-4454-836b-14b8d9089f62.png,Give way
0\0_original_43_original_43.png_04483064-39ca-41ac-b755-800101e09955.png_36d718e5-c1de-417b-a664-932fb7250490.png,Give way
0\0_original_43_original_43.png_04483064-39ca-41ac-b755-800101e09955.png_9b7b2450-fd1d-41c3-877b-26a20ae306c4.png,Give way
0\0_original_43_original_43.png_04b40297-39ac-44c0-a574-dc63bd9b7cf7.png_242b02e1-7d80-4cb3-af1f-08032f6d5a69.png,Give way
0\0_original_43_original_43.png_04b40297-39ac-44c0-a574-dc63bd9b7cf7.png_e72d3be8-2eb4-4521-9031-6b2728807e06.png,Give way
0\0_original_43_original_43.png_0505603d-d477-4ae0-b81c-aebc060d663c.png_79c766ae-418e-4348-80b5-6ed54c986514.png,Give way
0\0_original_43_original_43.png_0f4ea773-3a01-4c63-94ff-452bfecd81ed.png_773d99bd-95ca-4779-b3ba-3ea9e3579582.png,Give way
0\0_original_43_original_43.png_1674ff54-1005-4f3a-954e-7e3f4d98ed73.png_1aee225b-25b5-4c81-b3b4-c9bc290d271e.png,Give way
0\0_original_43_original_43.png_18438db5-3d00-45ff-802f-ccdc79fc5549.png_68c72c7c-835a-465a-9777-7e476c5c4d2f.png,Give way
0\0_original_43_original_43.png_186acbdb-d30f-437b-8c24-6bf29bbeccbe.png_3de425b6-0d46-4e5b-9288-bd0dd1a3c8ba.png,Give way
0\0_original_43_original_43.png_186acbdb-d30f-437b-8c24-6bf29bbeccbe.png_7b0b03a3-3ce7-4b86-b9d5-0d8f294accbb.png,Give way
